|  id|   xcenter|   ycenter| aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|         double|         double|               double|
|    |       pix|       pix|               |               |                     |
|null|      null|      null|           null|           null|                 null|
    1 165.817001 290.996002  -2.28571617555   7.00644545211        -2.60741526328 
    2 382.912994  58.875999   20.9093651001   26.7181591408         20.5876660124 
    3 913.508972  28.245001   7.49889490759   8.82472982438         7.17719581986 
    4 932.661987     50.757   46.6788350978   52.1898533615         46.3571360101 
    5 501.412994  57.442001   2144.89959497   632.712596926         2144.57789588 
    6 319.796997      13.63   27.9481039577   26.6590760951         27.6264048699 
    7    301.431      6.767   62.3059073052   36.6523299773         61.9842082174 
    8 987.448975  23.905001   65.7780747839   130.314053933         65.4563756962 
    9 422.341003  17.518999   47.0757439689   28.9487774658         46.7540448812 
   10 511.863007     14.934 -0.109202671517  -2.44057113573       -0.430901759245 
   11 400.260986  38.692001   86.7154563304   33.8448327487         86.3937572427 
   12 388.869995     12.205   1.13767446274    1.7879348939        0.815975375009 
   13      7.894      9.874    54.423077845   38.8408671304         54.1013787573 
   14 908.734985      4.503   26.2218856464   12.5449989545         25.9001865587 
   15 727.018005      5.768   29.8070220274   18.1748424571         29.4853229397 
   16 433.649994      3.683   81.7342777082   21.9235134239         81.4125786204 
   17 196.813995 952.414978   24.5117105905   12.7041293835         24.1900115027 
   18  611.72998 997.578003   28.2325588265   9.58312211082         27.9108597388 
   19 311.919006 947.151978   21.4876369193  -4.05843595421         21.1659378315 
   20 831.166016 943.843018   70.9548641009   22.4631205119         70.6331650131 
   21 385.333008  940.77301   40.5397640823   15.3973070499         40.2180649946 
   22 327.104004 943.197021   25.5107612707   2.66876702126          25.189062183 
   23  71.880997 936.484985   18.2837825575   20.1493438685         17.9620834698 
   24 172.621002 940.585022   7.64174786094   9.19155553753         7.32004877321 
   25 251.003998 911.796021 -0.382719793561  -59.3078083594       -0.704418881288 
   26 260.304993 903.705994   18.0756683822  -48.0473538935         17.7539692944 
   27 262.778015 934.447021   121.965908639   92.0411034509         121.644209551 
   28 276.240997 922.575012   54.0227683662    34.441988135         53.7010692785 
   29 286.713989 904.396973   14.9114897886  -48.6717851642         14.5897907008 
   30 279.089996 889.682983   103.201515293   148.687600745         102.879816205 
   31    207.806 935.551025   18.6745089758  -6.61346420375          18.352809888 
   32     56.473 928.791992   21.6065976905    23.452343496         21.2848986028 
   33  67.504997 918.517029   14.3996438757   26.8599532588         14.0779447879 
   34 719.161011 932.572998   22.4650537627   11.9870972787         22.1433546749 
   35  26.243999  919.76001   24.1457786359   14.3177885297         23.8240795482 
   36 508.446991 914.599976   71.1977531457   18.5506940952          70.876054058 
   37 926.901978 910.025024   85.2601313379   29.6349822598         84.9384322502 
   38  933.65802 905.864014   8.01707580551   38.0922907833         7.69537671779 
   39 200.220993 907.244995   73.5421544212   27.1123814024         73.2204553335 
   40 715.530029 901.721985   40.4266340978   34.4972481491         40.1049350101 
   41  94.345001 909.239014   38.9563666056  -3.68869394681         38.6346675178 
   42 782.799011 897.671021   25.1926803287   7.37227774053          24.870981241 
   43 424.608002 894.346008   15.6237568995  -10.9772988771         15.3020578118 
   44  86.815002 893.476013   10.8425966476    5.0644218275         10.5208975599 
   45    352.819  885.13501   144.195578799   119.861624819         143.873879711 
   46 213.264008 887.502014   53.2583624385   12.0577573211         52.9366633508 
   47 236.225006 889.455994   24.1831530566  -23.4214329558         23.8614539688 
   48 549.117981 875.538025   81.0140758098   35.7226688101         80.6923767221 
   49 697.833008 869.340027   21.5683942739   19.3779539268         21.2466951862 
   50 623.103027  874.26001   23.5489623234   13.1297040609         23.2272632356 
   51 986.955017  872.64502   21.5571695948   8.95695926786         21.2354705071 
   52 409.130005 872.182007   19.4793937426   6.87180087201         19.1576946549 
   53 863.997986 864.758972   55.6253453517   29.9676851389          55.303646264 
   54 360.136993 863.380005    21.243793342   1.75849494437         20.9220942543 
   55  22.493999  858.83197   27.1266893121   16.9069545558         26.8049902244 
   56 952.379028 853.974976   29.8828416714   24.8704266842         29.5611425837 
   57 739.630981 849.505981   78.6440134652   36.6371391664         78.3223143774 
   58 912.883972 851.849976   36.6072405476    26.327094216         36.2855414599 
   59 168.548996 844.349976   733.409409227   232.448387095         733.087710139 
   60 313.308014 848.015015   10.8776172635   10.9084706184         10.5559181758 
   61  319.30899 848.442993   24.6235678699  -1.34014834845         24.3018687822 
   62 850.997986 839.786987   29.2197254967   14.7014261556          28.898026409 
   63 831.627991 832.190002   27.0647970953   19.6252781148         26.7430980076 
   64 129.606003 821.567017   10.6728108049  -1.46724445734         10.3511117171 
   65 996.536011 810.627991   99.8314810828   32.5020747218          99.509781995 
   66 785.288025 802.635986   130.254132477   125.933546996          129.93243339 
   67 398.481995 809.271973   3.28453226746  -6.54355028367         2.96283317973 
   68 680.726013 765.627014   39.3704040535   78.9487670598         39.0487049658 
   69 890.330017 784.578003   27.3695733122   18.8657551652         27.0478742245 
   70 423.071991 774.906982   76.8717610747   48.9970610741         76.5500619869 
   71 773.750977 769.986023   10.4306032715   21.4407405755         10.1089041838 
   72     13.676 765.432983   18.1890470485   57.5994649922         17.8673479608 
   73      6.965 759.216003   303.365463445   95.3709016117         303.043764357 
   74 351.941986  757.30603   768.804981477   199.568008707         768.483282389 
   75 512.768982     760.75   25.9778742431   2.16547795396         25.6561751554 
   76 323.539001 786.325012   52.3641391301   7.79832536192         52.0424400424 
   77 964.760986  756.77301   22.8066092744   1.70643632864         22.4849101867 
   78 589.461975  747.97699   48.6938693088   48.9054329096          48.372170221 
   79 993.791992 751.007996   20.2216320016   3.69897771095         19.8999329138 
