       IMAGE      NPIX      MEAN    STDDEV       MIN       MAX
          A1033g.fits    998001   -0.2779     3.291    -30.11     521.1
          A1033i.fits    998001    0.6718      14.3    -255.7     1245.
          A1033r.fits    998001    0.2105     6.907    -60.19      960.
          A1033u.fits    998001    0.0282    0.6116    -5.452      23.5
          A1068g.fits    998001   0.03382     2.116    -75.97     250.2
          A1068i.fits    998001    0.3219     9.464    -365.1     683.5
          A1068r.fits    998001   0.09224     4.965    -175.2     650.7
          A1068u.fits    998001   0.02278     0.528    -5.175     18.09
          A1132g.fits    998001   0.07373     2.977    -34.44     595.1
          A1132i.fits    998001    0.4915     15.12     -182.     2004.
          A1132r.fits    998001     0.177     9.132    -84.34     2518.
          A1132u.fits    998001   0.02046    0.4472     -2.28      6.03
           A119g.fits    998001   0.01326     1.862    -50.74     322.7
           A119i.fits    998001    0.2162     21.18    -402.6     3719.
           A119r.fits    998001   0.04044     5.096    -96.24     1155.
          A1413g.fits    998001     0.146     3.684    -80.31     396.2
          A1413i.fits    998001     1.031     19.48    -493.8     1561.
          A1413r.fits    998001    0.3382     8.809    -134.7     1092.
          A1650g.fits    998001   0.05785     2.598    -27.69     263.8
          A1650i.fits    998001    0.4467       20.    -634.3     1426.
          A1650r.fits    998001    0.1167     5.264    -57.88      619.
          A1650u.fits    998001   0.01998     0.503     -6.97     12.45
          A1651g.fits    998001    0.2281     5.795    -80.25     688.4
          A1651i.fits    998001     2.656     55.45    -670.9     5007.
          A1651r.fits    998001    0.4827     12.32     -187.     1490.
          A1651u.fits    998001   0.04728     0.827    -6.958     43.33
          A1795g.fits    998001   0.08358      3.17    -172.7     475.7
          A1795i.fits    998001    0.3251     10.14    -527.9     511.9
          A1795r.fits    998001    0.1751     6.849    -298.2     1212.
          A1795u.fits    998001   0.01975    0.5325    -23.06     7.046
          A2029g.fits    998001     0.573     11.78    -171.5     2780.
          A2029i.fits    998001     2.394     23.66    -1048.     953.2
          A2029r.fits    998001     1.033     21.38    -384.1     4576.
          A2029u.fits    998001    0.2077     3.217    -33.97     348.2
          A2050g.fits    998001    0.2733     5.747    -15.97      715.
          A2050i.fits    998001     2.949     52.26    -322.5     4924.
          A2050r.fits    998001     0.642     14.81    -38.98     2324.
          A2050u.fits    998001    0.0811     1.445    -5.938     49.65
          A2055g.fits    998001    0.1118     5.478    -10.82     1344.
          A2055i.fits    998001    0.6385     17.99    -75.97     2510.
          A2055r.fits    998001     0.222     11.35      -22.     3136.
          A2055u.fits    998001   0.01814     0.872    -27.41     71.45
          A2064g.fits    998001     0.098     6.931    -27.74     1620.
          A2064i.fits    998001    0.5038     21.11    -355.2     3223.
          A2064r.fits    998001    0.1869     13.85    -64.78     3909.
          A2064u.fits    998001   0.03565     1.304    -7.917     234.5
          A2065g.fits    998001    0.4567     7.504    -84.04     1023.
          A2065i.fits    998001     4.991     38.17    -55.14     1564.
          A2065r.fits    998001    0.9692     16.72    -203.9     2381.
          A2065u.fits    998001    -1.035     15.77    -4820.     23.25
          A2069g.fits    998001   0.08533     2.591    -79.22     317.9
          A2069i.fits    998001    0.5275     13.06    -442.2     1339.
          A2069r.fits    998001    0.1875     6.086    -193.6     906.3
          A2069u.fits    998001   0.02797     0.722     -9.29     16.58
          A2142g.fits    998001    0.3279     24.92    -75.61     8762.
          A2142i.fits    998001     15.36     126.9    -7948.    15964.
          A2142r.fits    998001    0.7097     50.08    -153.1    18378.
          A2142u.fits    998001    -0.855     159.1   -81507.     541.1
          A2319g.fits    998001     2.457      62.5    -150.7     7850.
          A2319i.fits    998001     11.54     133.3    -639.1     9201.
          A2319r.fits    998001      4.64     119.9    -307.4    19209.
          A2319u.fits    998001    0.3775     4.198    -8.173      253.
          A2420g.fits    998001   0.05413     3.145    -53.59     511.6
          A2420i.fits    998001    0.2806     12.63    -629.3     903.8
          A2420r.fits    998001    0.1111     6.658     -135.     1210.
          A2420u.fits    998001   0.02065    0.7224    -10.03     33.67
          A2440g.fits    998001   0.07623     3.827    -10.99     584.9
          A2440i.fits    998001    0.5207     14.67    -138.7     1129.
          A2440r.fits    998001     0.165     8.213    -24.35     1211.
          A2440u.fits    998001   0.02619    0.6826    -3.848     30.06
          A2597g.fits    998001   0.02527     1.962    -34.35     348.3
          A2597i.fits    998001    0.2713     9.384    -207.5     911.7
          A2597r.fits    998001    0.0658     5.446    -52.42     1333.
          A2597u.fits    998001   0.01812    0.5544     -18.8     8.991
          A2627g.fits    998001   0.02522     1.856    -35.57      373.
          A2627i.fits    998001     0.176     5.372    -247.7     579.8
          A2627r.fits    998001   0.05172     3.603    -65.35     640.5
          A2627u.fits    998001   -0.1178     1.159    -123.9     31.62
          A2703g.fits    998001    0.1067     4.393    -9.661     1493.
          A2703i.fits    998001    0.6533     15.03    -150.6     1689.
          A2703r.fits    998001    0.2408     9.932    -23.28     3414.
          A2703u.fits    998001   0.03136    0.7028    -3.209     72.27
           A399g.fits    998001    0.0887     2.488    -45.42     246.7
           A399i.fits    998001    0.6179     13.88    -273.5     1089.
           A399r.fits    998001    0.2036     5.661     -125.     559.8
           A399u.fits    998001   0.02707    0.6767    -4.499     13.05
           A553g.fits    998001    0.1246     5.443    -33.07     574.8
           A553i.fits    998001    0.5435     25.37    -561.4     2187.
           A553r.fits    998001      0.28     11.82    -75.14     1216.
